site,easting,northing,year,pH,temperature,BOD,nitrate,phosphate,arable,imp.grass,urban,scaled.med.discharge,richness,ca1.score
S10,201400,68600,1991,7.05,12.25,1.55,2.9,0.215,24.88263,51.17371,2.816901,0.01064176,30,0.361726841
S10,201400,68600,1992,7.25,10.25,1,3.08,0.11,24.88263,51.17371,2.816901,0.01689895,27,0.50784608
S10,201400,68600,1995,7.55,11.5,1.05,2.935,0.06,24.88263,51.17371,2.816901,0.0285249,32,0.554318328
S10,201400,68600,1997,7.5,10.8,1.1,3.035,0.07,24.88263,51.17371,2.816901,0.0150431,26,0.4099066
S10,201400,68600,2000,7.55,9.3,1.2,3.16,0.04,24.88263,51.17371,2.816901,0.01863506,27,0.459186557
S14,183000,59280,1995,7.8,11.3,1.15,6.72,0.03,80,20,0,0.01778049,27,0.662314283
S14,183000,59280,1997,7.65,10.3,1.2,5.52,0.055,80,20,0,0.009804878,26,0.38622306
S14,183000,59280,2000,7.725,11.05,1,5.83,0.035,80,20,0,0.00995122,27,0.80390503
S14,183000,59280,2002,7.44,12.295,1.3,5.5,0.056,80,20,0,0.009317073,28,0.719425243
S14,183000,59280,2004,7.395,11.905,1.1,5.245,0.06,80,20,0,0.006719512,29,0.652684217
S14,183000,59280,2005,7.545,12.225,1.15,5.72,0.0385,80,20,0,0.0114878,32,0.625876017
S14,183000,59280,2007,7.78,14.3,0.25,5.42,0.0735,80,20,0,0.008609756,25,0.803559121
S26,347081,176141,1995,7.85,10.05,1.85,3.94,0.08,15.78947,42.10526,21.05263,0.01180258,22,-0.954389332
S26,347081,176141,2000,7.75,8.85,1.45,3.465,0.056,15.78947,42.10526,21.05263,0.01186695,21,-0.8739825
S28,346696,162093,1995,8.1,11.7,1.4,5.05,0.21,27.5,67.5,0,0.01084084,30,0.165640296
S28,346696,162093,2000,8.1,10.6,1.65,5.18,0.23,27.5,67.5,0,0.009857357,25,0.138420254
S28,346696,162093,2004,7.96,11.94,1.35,3.475,0.3625,27.5,67.5,0,0.005345345,31,0.003209259
S28,346696,162093,2005,7.975,12.175,1.305,6.07,0.223,27.5,67.5,0,0.006306306,27,-0.041843406
S28,346696,162093,2007,8.05,11.5,1.2,5.02,0.305,27.5,67.5,0,0.006996997,26,0.096211461
S28,346696,162093,2008,8.14,11.6,1.1,4.33,0.235,27.5,67.5,0,0.008753754,35,0.000675899
S28,346696,162093,2009,8.095,9.935,1.3,3.42,0.1415,27.5,67.5,0,0.01054054,31,0.034392083
S28,346696,162093,2010,8.09,13.52,1.2,3.19,0.317,27.5,67.5,0,0.005735736,35,-0.11884107
S28,346696,162093,2012,7.995,11.95,1.15,3.145,0.294,27.5,67.5,0,0.004151652,34,-0.155825535
S28,346696,162093,2013,8.03,13,1.1,2.6,0.134,27.5,67.5,0,0.01936937,28,-0.127348453
S33,346059,114461,1995,8.1,11.65,1.5,5.585,0.575,55.40541,37.83784,2.702703,0.009224599,28,-0.402946953
S33,346059,114461,1998,8.05,12.8,1.8,5.94,0.62,55.40541,37.83784,2.702703,0.006163102,30,-0.426615335
S33,346059,114461,2000,8.05,10.7,1.65,5.51,0.5835,55.40541,37.83784,2.702703,0.007800802,28,-0.270066763
S33,346059,114461,2004,7.89,10.545,1.5,5.905,0.4605,55.40541,37.83784,2.702703,0.004893048,17,-0.560090524
