time,site,easting,northing,Year,richness,ca1.score
t1,S2,437586,393579,1992,11,-0.502862724
t1,S3,211100,80160,1991,32,0.507281276
t1,S3,211100,80160,1992,28,0.566379744
t1,S4,210430,82780,1991,25,0.456076782
t1,S4,210430,82780,1992,25,0.40309562
t1,S5,188380,61560,1991,28,0.55197823
t1,S5,188380,61560,1992,26,0.626734321
t1,S6,201640,72020,1992,33,0.591241587
t1,S7,207170,80530,1992,28,0.681203488
t1,S8,208900,73900,1992,20,0.506887997
t1,S9,204330,67270,1991,21,-0.132827476
t1,S9,204330,67270,1992,20,-0.199892468
t1,S10,201400,68600,1991,30,0.361726841
t1,S10,201400,68600,1992,27,0.50784608
t1,S11,206580,71500,1991,28,0.485083129
t1,S11,206580,71500,1992,26,0.760760237
t1,S12,209790,80550,1992,25,0.835585491
t1,S13,183760,57090,1993,14,0.980994851
t1,S14,183000,59280,1993,25,0.819699822
t1,S15,187320,65920,1992,25,0.20395136
t1,S16,201570,67770,1992,30,0.764637089
t1,S17,425556,403330,1992,11,-0.16246769
t1,S18,199830,75280,1992,32,0.112291109
t1,S19,210170,91210,1993,25,1.014625232
t1,S20,220260,111690,1993,28,0.598184794
t1,S21,221870,103780,1991,34,0.321869666
t1,S21,221870,103780,1992,30,0.358870971
t1,S21,221870,103780,1993,28,0.438627841
t1,S22,221236,104761,1991,30,0.060031677
t1,S22,221236,104761,1992,28,0.405914288
t1,S22,221236,104761,1993,28,0.329178625
t1,S23,223454,100988,1993,26,0.645130486
t1,S24,221730,103340,1992,31,0.316245851
t1,S24,221730,103340,1993,22,0.716354311
t1,S56,438873,392793,1992,10,-0.264791335
t1,S68,394209,454392,1992,19,0.401417574
t1,S71,209980,63600,1992,25,0.749335017
t1,S72,215100,55560,1993,27,0.553306474
t1,S73,215610,53150,1993,20,0.440839882
t1,S74,218420,67990,1992,27,0.835675515
t1,S76,222790,69910,1991,31,0.57098202
t1,S77,218100,70710,1991,23,0.661485213
t1,S77,218100,70710,1992,20,0.68460546
t1,S78,211100,64440,1992,23,0.577235831
t1,S79,217660,64880,1991,23,0.635956351
t1,S79,217660,64880,1992,24,0.894173139
t1,S80,215830,68100,1992,22,1.512171538
t1,S81,222810,68980,1991,28,0.824316367
t1,S81,222810,68980,1992,22,1.034354561
t1,S82,220660,74400,1991,25,0.824651543
t1,S82,220660,74400,1992,20,0.88891933
t1,S84,214320,57340,1991,30,0.664107122
t1,S84,214320,57340,1993,27,0.881548344
